#,Date,Time,Dir,Entry,Exit,SL,TP,Vol,Risk$,PnL,Result,Balance
1,2025-09-05,07:30,SELL,3552.26,3546.13,3553.96,3546.13,0.03,0.50,+18.39,WIN,118.39
2,2025-09-05,09:48,BUY,3550.95,3550.56,3550.56,3561.13,0.15,0.59,-5.82,LOSS,112.57
3,2025-09-05,11:02,BUY,3551.52,3553.80,3550.14,3553.80,0.04,0.56,+9.12,WIN,121.69
4,2025-09-05,13:00,BUY,3577.01,3601.24,3568.93,3601.24,0.01,0.61,+24.23,WIN,145.92
5,2025-09-05,13:30,BUY,3576.52,3599.28,3568.93,3599.28,0.01,0.73,+22.76,WIN,168.68
6,2025-09-05,14:25,BUY,3587.02,3641.28,3568.93,3641.28,0.01,0.84,+54.26,WIN,222.94
7,2025-09-09,00:01,BUY,3631.70,3637.99,3631.35,3637.99,0.31,1.11,+194.99,WIN,417.93
8,2025-09-09,00:31,BUY,3636.05,3637.99,3635.22,3637.99,0.25,2.09,+48.50,WIN,466.43
9,2025-09-09,01:03,BUY,3638.41,3647.99,3635.22,3647.99,0.07,2.33,+67.03,WIN,533.46
10,2025-09-09,01:37,BUY,3638.54,3648.51,3635.22,3648.51,0.07,2.67,+69.76,WIN,603.22
11,2025-09-15,14:15,BUY,3661.40,3659.05,3659.05,3668.45,0.02,3.02,-4.70,LOSS,598.52
12,2025-09-16,02:15,BUY,3679.11,3678.45,3678.45,3689.31,0.07,2.99,-4.65,LOSS,593.87
13,2025-09-16,03:15,BUY,3678.22,3689.31,3676.29,3689.31,0.02,2.97,+22.18,WIN,616.05
14,2025-09-16,03:45,BUY,3681.41,3689.31,3680.15,3689.31,0.04,3.08,+31.60,WIN,647.65
15,2025-09-19,03:00,BUY,3645.86,3685.38,3642.74,3685.38,0.02,3.24,+79.04,WIN,726.69
16,2025-09-19,07:01,BUY,3646.62,3644.78,3644.78,3661.25,0.04,3.63,-7.36,LOSS,719.33
17,2025-09-19,07:45,BUY,3650.44,3650.27,3650.27,3661.25,0.4,3.60,-6.92,LOSS,712.41
18,2025-09-19,08:15,BUY,3653.80,3650.27,3650.27,3661.25,0.02,3.56,-7.07,LOSS,705.34
19,2025-09-19,08:45,BUY,3651.67,3650.27,3650.27,3661.25,0.04,3.53,-5.61,LOSS,699.73
20,2025-09-19,11:16,BUY,3652.97,3650.27,3650.27,3661.25,0.02,3.50,-5.41,LOSS,694.32
21,2025-09-19,12:02,BUY,3651.55,3650.27,3650.27,3659.22,0.04,3.47,-5.13,LOSS,689.19
22,2025-09-19,13:11,BUY,3647.33,3659.22,3644.39,3659.22,0.02,3.45,+23.78,WIN,712.97
23,2025-09-19,13:41,BUY,3651.05,3659.22,3650.27,3659.22,0.07,3.56,+57.19,WIN,770.16
24,2025-09-19,14:16,BUY,3656.37,3659.22,3655.16,3659.22,0.08,3.85,+22.80,WIN,792.96
25,2025-09-19,14:46,BUY,3657.73,3659.22,3657.62,3659.22,0.93,3.96,+138.57,WIN,931.53
26,2025-09-23,00:08,BUY,3747.11,3746.14,3746.14,3748.62,0.22,4.66,-21.34,LOSS,910.19
27,2025-09-23,00:42,BUY,3745.63,3748.62,3745.29,3748.62,0.6,4.55,+179.40,WIN,1089.59
28,2025-09-23,03:49,BUY,3742.31,3739.56,3739.56,3759.22,0.11,5.45,-30.26,LOSS,1059.33
29,2025-09-26,01:15,BUY,3744.60,3742.67,3742.67,3756.72,0.15,5.30,-28.94,LOSS,1030.39
30,2025-09-26,01:45,BUY,3740.81,3738.95,3738.95,3756.72,0.14,5.15,-26.05,LOSS,1004.34
31,2025-09-26,02:36,BUY,3740.55,3738.43,3738.43,3756.72,0.12,5.02,-25.45,LOSS,978.89
32,2025-09-26,03:28,BUY,3738.30,3756.72,3733.93,3756.72,0.05,4.89,+92.10,WIN,1070.99
33,2025-09-26,03:58,BUY,3743.09,3742.67,3742.67,3756.72,0.57,5.35,-23.88,LOSS,1047.11
34,2025-09-26,04:28,BUY,3745.36,3742.67,3742.67,3756.72,0.09,5.24,-24.20,LOSS,1022.91
35,2025-09-26,07:01,BUY,3745.42,3744.06,3744.06,3756.72,0.16,5.11,-21.76,LOSS,1001.15
36,2025-09-26,07:31,BUY,3742.32,3754.13,3740.58,3754.13,0.12,5.01,+141.72,WIN,1142.87
37,2025-09-26,08:01,BUY,3747.23,3754.13,3744.06,3754.13,0.06,5.71,+41.40,WIN,1184.27
38,2025-09-26,11:13,BUY,3744.32,3755.19,3739.03,3755.19,0.06,5.92,+65.22,WIN,1249.49
39,2025-09-29,10:43,BUY,3809.89,3819.72,3803.39,3819.72,0.06,6.25,+58.98,WIN,1308.47
40,2025-09-29,13:15,BUY,3817.65,3831.44,3815.50,3831.44,0.19,6.54,+262.01,WIN,1570.48
41,2025-09-29,13:45,BUY,3819.90,3831.44,3814.59,3831.44,0.08,7.85,+92.32,WIN,1662.80
42,2025-11-03,15:57,SELL,4010.22,3991.42,4015.06,3991.42,0.01,8.31,+18.80,WIN,1681.60
43,2025-11-04,03:42,SELL,3995.80,3976.19,4001.41,3976.19,0.01,8.41,+19.61,WIN,1701.21
44,2025-11-04,04:27,SELL,3993.27,3976.19,4001.41,3976.19,0.01,8.51,+17.08,WIN,1718.29
45,2025-11-07,02:30,SELL,4002.51,4002.94,4002.94,3966.94,0.17,8.59,-7.29,LOSS,1711.00
46,2025-11-07,03:08,SELL,3996.93,4001.97,4001.97,3966.94,0.01,8.55,-5.04,LOSS,1705.96
47,2025-11-07,10:30,SELL,4007.36,4008.04,4008.04,3985.68,0.1,8.53,-6.77,LOSS,1699.19
48,2025-11-07,11:00,SELL,4004.95,4010.71,4010.71,3985.68,0.01,8.50,-5.76,LOSS,1693.43
49,2025-11-07,12:11,SELL,4006.76,3985.68,4010.71,3985.68,0.02,8.47,+42.16,WIN,1735.59
50,2025-11-07,14:20,SELL,4005.01,3985.68,4010.71,3985.68,0.01,8.68,+19.33,WIN,1754.92
51,2025-11-07,16:55,SELL,4012.68,4014.65,4014.65,3985.68,0.05,8.77,-9.84,LOSS,1745.08
52,2025-11-10,14:15,SELL,4094.39,4100.20,4100.20,3992.48,0.01,8.73,-5.81,LOSS,1739.27
53,2025-11-11,02:46,SELL,4132.93,4141.42,4141.42,4106.90,0.01,8.70,-8.49,LOSS,1730.78
54,2025-11-11,04:12,SELL,4144.42,4129.72,4147.42,4129.72,0.03,8.65,+44.10,WIN,1774.88
55,2025-11-11,04:42,SELL,4143.30,4145.18,4145.18,4129.72,0.04,8.87,-7.52,LOSS,1767.36
56,2025-11-14,09:45,SELL,4174.13,4159.19,4175.20,4159.19,0.09,8.84,+134.46,WIN,1901.82
57,2025-11-14,10:16,SELL,4170.97,4159.19,4173.06,4159.19,0.05,9.51,+58.90,WIN,1960.72
58,2025-11-14,10:47,SELL,4168.26,4159.19,4173.06,4159.19,0.02,9.80,+18.14,WIN,1978.86
59,2025-11-17,15:45,BUY,4066.19,4057.26,4057.26,4081.88,0.01,9.89,-8.93,LOSS,1969.93
60,2025-11-17,16:23,BUY,4058.23,4057.26,4057.26,4081.88,0.04,9.85,-3.90,LOSS,1966.03
61,2025-11-17,16:53,BUY,4066.84,4057.26,4057.26,4081.88,0.01,9.83,-9.58,LOSS,1956.45
62,2025-11-18,01:00,BUY,4032.95,4024.16,4024.16,4056.32,0.01,9.78,-8.79,LOSS,1947.66
63,2025-11-18,01:30,BUY,4042.19,4034.79,4034.79,4056.32,0.01,9.74,-7.40,LOSS,1940.26
64,2025-11-18,02:06,BUY,4038.09,4027.04,4027.04,4056.32,0.01,9.70,-11.05,LOSS,1929.21
65,2025-11-18,02:36,BUY,4029.54,4027.04,4027.04,4045.12,0.01,9.65,-2.50,LOSS,1926.71
66,2025-11-18,03:40,BUY,4014.85,4045.12,4002.66,4045.12,0.01,9.63,+30.27,WIN,1956.98
67,2025-11-21,11:45,BUY,4039.52,4033.83,4033.83,4063.36,0.01,9.78,-5.69,LOSS,1951.29
68,2025-11-21,12:27,BUY,4037.82,4063.36,4024.06,4063.36,0.01,9.76,+25.54,WIN,1976.83
69,2025-11-21,12:57,BUY,4054.12,4063.36,4051.58,4063.36,0.02,9.88,+18.48,WIN,1995.31
70,2025-11-21,13:35,BUY,4064.01,4057.06,4057.06,4084.86,0.01,9.98,-6.95,LOSS,1988.36
71,2025-11-21,14:28,BUY,4067.72,4057.06,4057.06,4099.70,0.01,9.94,-10.66,LOSS,1977.70
72,2025-11-21,15:03,BUY,4067.26,4057.06,4057.06,4097.86,0.01,9.89,-10.20,LOSS,1967.50
73,2025-11-24,12:31,BUY,4071.18,4101.13,4068.40,4101.13,0.01,9.84,+29.95,WIN,1997.45
74,2025-11-24,13:01,BUY,4074.15,4101.13,4068.40,4101.13,0.01,9.99,+26.98,WIN,2024.43
75,2025-11-24,14:46,BUY,4076.44,4074.61,4074.61,4085.89,0.02,10.12,-3.65,LOSS,2020.78
76,2025-11-28,09:30,BUY,4162.41,4188.72,4157.94,4188.72,0.01,10.10,+26.31,WIN,2047.09
77,2025-11-28,10:35,BUY,4163.79,4188.72,4157.94,4188.72,0.01,10.24,+24.93,WIN,2072.02
78,2025-11-28,13:15,BUY,4173.21,4172.62,4172.62,4180.08,0.1,10.36,-5.94,LOSS,2066.08
