ticket,symbol,direction,strategy,entryPrice,exitPrice,entryTime,exitTime,sl,tp,volume,profit,durationMinutes,pips,riskReward
2,XAUUSD,sell,low,4102.03000,4143.05030,2025-10-22T19:45:00.000Z,2025-10-23T12:20:00.000Z,4143.05030,3978.96910,0.12,-492.24,995,-410.20,1.00
1,XAUUSD,buy,low,4101.56000,4060.54440,2025-10-22T19:00:00.000Z,2025-10-24T07:10:00.000Z,4060.54440,4224.60680,0.12,-492.19,2170,-410.16,1.00
3,XAUUSD,sell,low,4139.86000,4015.66420,2025-10-23T12:30:00.000Z,2025-10-27T09:35:00.000Z,4181.25860,4015.66420,0.11,1366.15,5585,1241.96,3.00
4,XAUUSD,buy,low,4055.08000,4014.52920,2025-10-24T07:15:00.000Z,2025-10-27T11:45:00.000Z,4014.52920,4176.73240,0.11,-446.06,4590,-405.51,1.00
5,XAUUSD,buy,low,4018.49000,3978.30510,2025-10-27T11:50:00.000Z,2025-10-27T13:00:00.000Z,3978.30510,4139.04470,0.12,-482.22,70,-401.85,1.00
7,XAUUSD,buy,low,3981.51000,3941.69490,2025-10-27T13:15:00.000Z,2025-10-28T04:45:00.000Z,3941.69490,4100.95530,0.12,-477.78,930,-398.15,1.00
8,XAUUSD,buy,low,3942.55000,3903.12450,2025-10-28T05:00:00.000Z,2025-10-28T06:40:00.000Z,3903.12450,4060.82650,0.11,-433.68,100,-394.25,1.00
6,XAUUSD,sell,low,4010.44000,3890.12680,2025-10-27T12:00:00.000Z,2025-10-28T07:05:00.000Z,4050.54440,3890.12680,0.12,1443.76,1145,1203.13,3.00
10,XAUUSD,sell,low,3946.20000,3985.66200,2025-10-28T20:25:00.000Z,2025-10-29T05:10:00.000Z,3985.66200,3827.81400,0.13,-513.01,525,-394.62,1.00
9,XAUUSD,buy,low,3907.03000,4024.24090,2025-10-28T06:45:00.000Z,2025-10-29T07:45:00.000Z,3867.95970,4024.24090,0.11,1289.32,1500,1172.11,3.00
12,XAUUSD,buy,low,4027.61000,3987.33390,2025-10-29T07:50:00.000Z,2025-10-29T15:25:00.000Z,3987.33390,4148.43830,0.13,-523.59,455,-402.76,1.00
13,XAUUSD,buy,low,3993.31000,3953.37690,2025-10-29T15:30:00.000Z,2025-10-29T16:35:00.000Z,3953.37690,4113.10930,0.13,-519.13,65,-399.33,1.00
14,XAUUSD,buy,low,3970.45000,3930.74550,2025-10-29T17:10:00.000Z,2025-10-29T17:40:00.000Z,3930.74550,4089.56350,0.12,-476.45,30,-397.04,1.00
11,XAUUSD,sell,low,3993.33000,4033.26330,2025-10-29T05:30:00.000Z,2025-10-30T20:50:00.000Z,4033.26330,3873.53010,0.12,-479.20,2360,-399.33,1.00
15,XAUUSD,buy,low,3941.98000,4060.23940,2025-10-29T17:45:00.000Z,2025-11-10T02:30:00.000Z,3902.56020,4060.23940,0.12,1419.11,16365,1182.59,3.00
16,XAUUSD,sell,low,4031.89000,4072.20890,2025-10-30T21:00:00.000Z,2025-11-10T03:20:00.000Z,4072.20890,3910.93330,0.11,-443.51,14780,-403.19,1.00
18,XAUUSD,sell,low,4073.08000,4113.81080,2025-11-10T03:45:00.000Z,2025-11-10T15:25:00.000Z,4113.81080,3950.88760,0.12,-488.77,700,-407.31,1.00
19,XAUUSD,sell,low,4113.34000,4154.47340,2025-11-10T15:30:00.000Z,2025-11-12T12:10:00.000Z,4154.47340,3989.93980,0.11,-452.47,2680,-411.33,1.00
17,XAUUSD,buy,low,4061.68000,4183.53040,2025-11-10T02:35:00.000Z,2025-11-12T12:45:00.000Z,4021.06320,4183.53040,0.13,1584.06,3490,1218.50,3.00
20,XAUUSD,sell,low,4175.22000,4216.97220,2025-11-12T12:50:00.000Z,2025-11-13T01:05:00.000Z,4216.97220,4049.96340,0.12,-501.03,735,-417.52,1.00
21,XAUUSD,buy,low,4181.22000,4139.40780,2025-11-12T12:55:00.000Z,2025-11-14T08:50:00.000Z,4139.40780,4306.65660,0.12,-501.75,2635,-418.12,1.00
22,XAUUSD,sell,low,4212.71000,4086.32870,2025-11-13T01:15:00.000Z,2025-11-14T10:10:00.000Z,4254.83710,4086.32870,0.12,1516.58,1975,1263.81,3.00
23,XAUUSD,buy,low,4137.34000,4095.96660,2025-11-14T09:00:00.000Z,2025-11-14T10:10:00.000Z,4095.96660,4261.46020,0.11,-455.11,70,-413.73,1.00
25,XAUUSD,buy,low,4055.95000,4015.39050,2025-11-14T10:35:00.000Z,2025-11-17T16:45:00.000Z,4015.39050,4177.62850,0.13,-527.27,4690,-405.59,1.00
24,XAUUSD,sell,low,4076.94000,4117.70940,2025-11-14T10:15:00.000Z,2025-11-19T07:05:00.000Z,4117.70940,3954.63180,0.13,-530.00,7010,-407.69,1.00
